Name	Set/Number	ImageFile	Rarity	Series	Formats	Type	Nation	Clan	Race	Grade	Skill	Power	Critical	Shield	Trigger	Trigger Power	Script	Ability 1	Ability 2	Ability 3
Nightmare Doll, Chelsea	V-SS08/057EN	vss08_057en	RRR	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	3	Twin Drive!!, Accel	12000	1	-	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Carroll	V-BT06/023EN	vbt06_023en	RR	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	3	Twin Drive!!, Accel	12000	1	-	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Alice	V-BT02/011EN	vbt02_011en	RRR	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	3	Twin Drive!!, Accel	12000	1	-	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Marissa	V-SS08/058EN	vss08_058en	RRR	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	2	Intercept	9000	1	5000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Elin	V-BT06/040EN	vbt06_040en	R	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	2	Intercept	9000	1	5000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Ginny	G-BT05/081EN	gbt05_081en	C	-	Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	2	Intercept	9000	1	5000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Abigail	V-SS08/059EN	vss08_059en	RRR	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	1	Boost	8000	1	10000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Earth Elemental, Rollock	V-SS05/054EN	vss05_054en	RR	-	Premium	Normal Unit	-	Cray Elemental	Elemental	1	Boost	7000	1	10000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Nightmare Doll, Leslie	G-BT05/086EN	gbt05_086en	C	-	Premium	Normal Unit	Dark Zone	Pale Moon	Workeroid	1	Boost	7000	1	5000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
Happiness Collector	V-BT09/078EN	vbt09_078en	C	V Series	V Premium, Premium	Normal Unit	Dark Zone	Pale Moon	Warbeast	0	Boost	6000	1	10000	-	-	<s><a>n</a><l>Power +1000</l><f>/ccr+1;/s </f></s><s><a>n</a><l>Power +2000</l><f>/ccr+2;/s </f></s><s><a>n</a><l>Power +3000</l><f>/ccr+3;/s </f></s><s><a>n</a><l>Power +4000</l><f>/ccr+4;/s </f></s><s><a>n</a><l>Power +5000</l><f>/ccr+5;/s </f></s><s><a>n</a><l>Power +6000</l><f>/ccr+6;/s </f></s><s><a>n</a><l>Power +7000</l><f>/ccr+7;/s </f></s><s><a>n</a><l>Power +10000</l><f>/ccr+10;/s </f></s><s><a>n</a><l>Power -5000</l><f>/ccr-5;/s </f></s><s><a>n</a><l>Power -10000</l><f>/ccr-10;/s </f></s><s><a>n</a><l>Critical -1</l><f>/ccy-1;/s </f></s><s><a>n</a><l>Critical -2</l><f>/ccy-2;/s </f></s>			
